zipcode,total_crimes
30308,2074
30363,1726
30311,1559
30310,1493
30318,1378
30303,1249
30315,1204
30313,1088
30314,1056
30324,1037
30326,817
30312,793
30305,772
30307,737
30309,627
30354,580
30344,536
30316,509
30334,456
30331,326
30306,273
30349,206
30317,171
30327,150
30342,88
30032,46
30336,37
30319,33
30288,33
30339,20
30126,17
30030,6
0,6
30337,2
