Zipcode,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount,PovertyRate,crime_rate,crime_rating
66103,13142,30.2,32099,19227,3941,29.98782529,0.000152184,Low
63134,13927,33.5,36539,17954,3111,22.33790479,0.000143606,Low
66109,22275,39.6,70914,30806,1205,5.409652076,0.00013468,Low
63131,17410,47,132500,77115,642,3.687535899,0.000114877,Low
64085,8938,39.2,47038,22051,1551,17.35287536,0.000111882,Low
20619,10529,32.3,97114,41207,447,4.245417419,9.50E-05,Low
64050,21395,39.3,33776,18876,4696,21.94905352,9.35E-05,Low
64086,21430,35.9,78203,34998,1319,6.154923005,9.33E-05,Low
66102,29584,29.7,31204,13566,9955,33.64994592,6.76E-05,Low
64015,30828,39,64344,29507,2825,9.163747243,6.49E-05,Low
64024,16628,38.7,51679,23544,1843,11.08371422,6.01E-05,Low
64064,16774,38.9,81950,40643,873,5.204483129,5.96E-05,Low
63137,20546,34.2,34019,16315,5275,25.67409715,4.87E-05,Low
64083,20563,39.1,72221,30886,705,3.428488061,4.86E-05,Low
68106,20615,35.1,52559,28432,2364,11.46737812,4.85E-05,Low
63138,20863,30.3,33691,17488,5338,25.58596559,4.79E-05,Low
63111,20891,34.7,30334,17518,7096,33.96677995,4.79E-05,Low
63108,21277,29.8,30157,31477,6409,30.12172769,4.70E-05,Low
64081,23549,41.3,76684,35039,1297,5.507664869,4.25E-05,Low
66106,24014,33.4,42586,18067,5831,24.28166903,4.16E-05,Low
66104,24686,35.2,35180,17089,6420,26.00664344,4.05E-05,Low
54130,25315,35.6,60443,27289,1881,7.430377247,3.95E-05,Low
64012,27338,34.7,53803,25148,3491,12.76977101,3.66E-05,Low
66213,28142,38.4,81139,40558,1435,5.099140075,3.55E-05,Low
66801,28837,30.6,37665,19469,6146,21.31289663,3.47E-05,Low
53151,32321,45,76500,39777,1309,4.049998453,3.09E-05,Low
54115,41206,34.7,62172,30581,2860,6.940736786,2.43E-05,Low
63136,47220,33.7,31051,16086,13019,27.57094452,2.12E-05,Low
63123,49390,41,52877,28928,4006,8.110953634,2.02E-05,Low
