zipcode,total_crimes
32805,22759
32801,28851
32803,10401
32804,7206
32811,21726
32807,5263
32806,8565
32808,8838
32822,13039
32814,3081
32827,6681
32812,5696
32835,6589
32819,12842
32829,1137
32810,3500
32839,6601
32824,875
32789,428
32809,142
32825,78
32817,7
34761,7
34734,5
32818,4
32792,15
32837,4
32703,3
32798,3
32826,2
34743,2
32820,13
32751,2
32836,1
32821,1
34756,1
,0
