zipcode,total_crimes
21201,30354
21217,26101
21231,25980
21205,25767
21202,25325
21218,23257
21223,22190
21215,20334
21216,17815
21213,15432
21229,12834
21230,11262
21214,10274
21206,9930
21211,9540
21225,9000
21239,8626
21224,7001
21210,4771
21209,4262
0,3957
21207,3256
21212,3076
21227,1480
21208,1062
21234,282
21226,179
