Latitude,Longitude
33.756079999999997,-84.388710000000003
33.72146,-84.465220000000002
33.733499999999999,-84.431479999999993
33.760710000000003,-84.394689999999997
33.754190000000001,-84.376149999999996
33.75582,-84.380129999999994
33.701189999999997,-84.350070000000002
33.776049999999998,-84.468239999999994
33.741660000000003,-84.409369999999996
33.744370000000004,-84.408370000000005
33.701369999999997,-84.426779999999994
33.807479999999998,-84.365189999999998
33.682319999999997,-84.414169999999999
33.771590000000003,-84.386189999999999
33.769359999999999,-84.343130000000002
33.77028,-84.389390000000006
33.760739999999998,-84.38561
33.841030000000003,-84.382909999999995
33.7376,-84.394859999999994
33.807009999999998,-84.414439999999999
33.752830000000003,-84.366870000000006
33.701369999999997,-84.426779999999994
33.800759999999997,-84.416229999999999
33.762059999999998,-84.395679999999999
33.760669999999998,-84.383539999999996
33.752479999999998,-84.405940000000001
33.816020000000002,-84.364999999999995
33.76491,-84.382599999999996
33.757300000000001,-84.389920000000004
33.74098,-84.345889999999997
33.69811,-84.429469999999995
33.766350000000003,-84.392930000000007
33.803879999999999,-84.412779999999998
33.681690000000003,-84.40737
33.82403,-84.363280000000003
33.848840000000003,-84.364750000000001
33.746850000000002,-84.395359999999997
33.750039999999998,-84.500630000000001
33.848999999999997,-84.366730000000004
33.736040000000003,-84.436269999999993
33.851819999999996,-84.359499999999997
33.657220000000002,-84.510289999999998
33.741790000000002,-84.349729999999994
33.753399999999999,-84.388329999999996
33.660609999999998,-84.355490000000003
33.788870000000003,-84.420270000000002
33.785739999999997,-84.444000000000003
33.688079999999999,-84.357280000000003
33.74089,-84.520979999999994
33.754489999999997,-84.375190000000003
33.756189999999997,-84.444490000000002
33.757669999999997,-84.392660000000006
33.758600000000001,-84.365129999999994
33.704329999999999,-84.380790000000005
33.744370000000004,-84.507050000000007
33.741950000000003,-84.427019999999999
33.678339999999999,-84.404700000000005
33.722070000000002,-84.406170000000003
33.73583,-84.417720000000003
33.748399999999997,-84.424139999999994
33.786360000000002,-84.387699999999995
33.672449999999998,-84.37509
33.700569999999999,-84.407560000000004
33.761279999999999,-84.330950000000001
33.749049999999997,-84.472989999999996
33.82114,-84.447130000000001
33.657769999999999,-84.508769999999998
33.857750000000003,-84.372339999999994
33.752830000000003,-84.366870000000006
33.69032,-84.355789999999999
33.772959999999998,-84.364140000000006
33.705210000000001,-84.422049999999999
33.790199999999999,-84.400300000000001
33.752890000000001,-84.430130000000005
33.819479999999999,-84.364249999999998
33.813870000000001,-84.476159999999993
33.748089999999998,-84.392009999999999
33.72251,-84.398229999999998
33.831119999999999,-84.371539999999996
33.722580000000001,-84.43186
33.790700000000001,-84.420850000000002
33.857390000000002,-84.416870000000003
33.74147,-84.516750000000002
33.767659999999999,-84.483770000000007
33.845779999999998,-84.364890000000003
33.658589999999997,-84.383300000000006
33.797420000000002,-84.406710000000004
33.843249999999998,-84.382019999999997
33.79063,-84.449100000000001
33.762349999999998,-84.388189999999994
33.734870000000001,-84.399720000000002
33.67268,-84.385069999999999
33.852110000000003,-84.380439999999993
33.742339999999999,-84.360020000000006
33.847999999999999,-84.359470000000002
33.77402,-84.389200000000002
